rcasiteid,rcapid,x,y
C0510X01,C0510X011,-94.55,37.77
C0510X01,C0510X012,-94.55,37.77
C0510X01,C0510X013,-94.55,37.77
C0510X01,C0510X014,-94.55,37.77
C0510X01,C0510X015,-94.55,37.77
C0511C05,C0511C051,-97.43,40.11
C0511C05,C0511C052,-97.43,40.11
C0511C05,C0511C053,-97.43,40.11
C0511C05,C0511C054,-97.43,40.11
C0511C05,C0511C055,-97.43,40.11
C0511C08,C0511C081,-96.64,40.34
C0511C08,C0511C082,-96.64,40.34
C0511C08,C0511C083,-96.64,40.34
C0511C08,C0511C084,-96.64,40.34
C0511C08,C0511C085,-96.64,40.34
C0511C10,C0511C101,-97.55,40.44
C0511C10,C0511C102,-97.55,40.44
C0511C10,C0511C103,-97.55,40.44
C0511C10,C0511C104,-97.55,40.44
C0511C10,C0511C105,-97.55,40.44
C0511F02,C0511F021,-97.26,39.01
C0511F02,C0511F022,-97.26,39.01
C0511F02,C0511F023,-97.26,39.01
C0511F02,C0511F024,-97.26,39.01
C0511F02,C0511F025,-97.26,39.01
C0511F04,C0511F041,-95.99,36.01
C0511F04,C0511F042,-95.99,36.01
C0511F04,C0511F043,-95.99,36.01
C0511F04,C0511F044,-95.99,36.01
C0511F04,C0511F045,-95.99,36.01
C0511F05,C0511F051,-95.72,40.27
C0511F05,C0511F052,-95.72,40.27
C0511F05,C0511F053,-95.72,40.27
C0511F05,C0511F054,-95.72,40.27
C0511F05,C0511F055,-95.72,40.27
C0511F07,C0511F071,-94.19,38.04
C0511F07,C0511F072,-94.19,38.04
C0511F07,C0511F073,-94.19,38.04
C0511F07,C0511F074,-94.19,38.04
C0511F07,C0511F075,-94.19,38.04
